2026-06-14 07:38:04.404 INFO  o.a.coyote.http11.Http11NioProtocol - Stopping ProtocolHandler ["http-nio-8085"]
2026-06-14 07:38:04.595 INFO  a.d.s.SpringProject14aprelApplication - Starting SpringProject14aprelApplication using Java 21.0.8 with PID 4004 (C:\Github\14Aprel_group\codes\spring\spring-project-14aprel\target\classes started by User in C:\Github\14Aprel_group\codes\spring\spring-project-14aprel)
2026-06-14 07:38:04.596 INFO  a.d.s.SpringProject14aprelApplication - No active profile set, falling back to 1 default profile: "default"
2026-06-14 07:38:04.946 INFO  o.s.boot.tomcat.TomcatWebServer - Tomcat initialized with port 8085 (http)
2026-06-14 07:38:04.952 INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8085"]
2026-06-14 07:38:04.953 INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-06-14 07:38:04.955 INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/11.0.21]
2026-06-14 07:38:04.986 INFO  o.s.b.w.c.s.WebApplicationContextInitializer - Root WebApplicationContext: initialization completed in 385 ms
2026-06-14 07:38:05.233 INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8085"]
2026-06-14 07:38:05.247 INFO  o.s.boot.tomcat.TomcatWebServer - Tomcat started on port 8085 (http) with context path '/'
2026-06-14 07:38:05.265 INFO  a.d.s.SpringProject14aprelApplication - Started SpringProject14aprelApplication in 0.746 seconds (process running for 2039.777)
2026-06-14 07:38:05.268 INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
2026-06-14 07:38:05.270 INFO  a.d.s.config.LogDemo - Sistem melumatlari ucun logging
2026-06-14 07:38:05.270 WARN  a.d.s.config.LogDemo - Xeberadarliq mesajlari ucun logging
2026-06-14 07:38:05.271 ERROR a.d.s.config.LogDemo - Kritik mesajlar ucun logging
2026-06-14 07:38:06.645 INFO  o.s.b.d.a.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener - Restarting due to 1 class path change (0 additions, 0 deletions, 1 modification)
2026-06-14 07:38:06.659 INFO  o.s.boot.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2026-06-14 07:38:06.660 INFO  o.a.coyote.http11.Http11NioProtocol - Pausing ProtocolHandler ["http-nio-8085"]
2026-06-14 07:38:06.668 INFO  o.s.boot.tomcat.GracefulShutdown - Graceful shutdown complete
2026-06-14 07:38:06.668 INFO  o.a.coyote.http11.Http11NioProtocol - Stopping ProtocolHandler ["http-nio-8085"]
2026-06-14 07:38:06.830 INFO  a.d.s.SpringProject14aprelApplication - Starting SpringProject14aprelApplication using Java 21.0.8 with PID 4004 (C:\Github\14Aprel_group\codes\spring\spring-project-14aprel\target\classes started by User in C:\Github\14Aprel_group\codes\spring\spring-project-14aprel)
2026-06-14 07:38:06.832 INFO  a.d.s.SpringProject14aprelApplication - No active profile set, falling back to 1 default profile: "default"
2026-06-14 07:38:07.200 INFO  o.s.boot.tomcat.TomcatWebServer - Tomcat initialized with port 8085 (http)
2026-06-14 07:38:07.202 INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8085"]
2026-06-14 07:38:07.204 INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-06-14 07:38:07.205 INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/11.0.21]
2026-06-14 07:38:07.232 INFO  o.s.b.w.c.s.WebApplicationContextInitializer - Root WebApplicationContext: initialization completed in 393 ms
2026-06-14 07:38:07.388 INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8085"]
2026-06-14 07:38:07.401 INFO  o.s.boot.tomcat.TomcatWebServer - Tomcat started on port 8085 (http) with context path '/'
2026-06-14 07:38:07.407 INFO  a.d.s.SpringProject14aprelApplication - Started SpringProject14aprelApplication in 0.647 seconds (process running for 2041.919)
2026-06-14 07:38:07.409 INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
