2026-06-08 16:56:50.087 INFO  a.d.s.SpringProject14aprelApplication - Starting SpringProject14aprelApplication using Java 21.0.8 with PID 6296 (C:\Github\14Aprel_group\codes\spring\spring-project-14aprel\target\classes started by User in C:\Github\14Aprel_group\codes\spring\spring-project-14aprel)
2026-06-08 16:56:50.093 INFO  a.d.s.SpringProject14aprelApplication - No active profile set, falling back to 1 default profile: "default"
2026-06-08 16:56:50.229 INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2026-06-08 16:56:50.230 INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2026-06-08 16:56:52.301 INFO  o.s.boot.tomcat.TomcatWebServer - Tomcat initialized with port 8085 (http)
2026-06-08 16:56:52.327 INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8085"]
2026-06-08 16:56:52.332 INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-06-08 16:56:52.332 INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/11.0.21]
2026-06-08 16:56:52.413 INFO  o.s.b.w.c.s.WebApplicationContextInitializer - Root WebApplicationContext: initialization completed in 2181 ms
2026-06-08 16:56:53.286 INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8085"]
2026-06-08 16:56:53.334 INFO  o.s.boot.tomcat.TomcatWebServer - Tomcat started on port 8085 (http) with context path '/'
2026-06-08 16:56:53.347 INFO  a.d.s.SpringProject14aprelApplication - Started SpringProject14aprelApplication in 4.084 seconds (process running for 4.778)
2026-06-08 16:56:53.353 INFO  a.d.s.config.LogDemo - Sistem melumatlari ucun logging
2026-06-08 16:56:53.354 WARN  a.d.s.config.LogDemo - Xeberadarliq mesajlari ucun logging
2026-06-08 16:56:53.354 ERROR a.d.s.config.LogDemo - Kritik mesajlar ucun logging
2026-06-08 16:57:24.423 INFO  o.s.b.d.a.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener - Restarting due to 1 class path change (0 additions, 0 deletions, 1 modification)
2026-06-08 16:57:24.434 INFO  o.s.boot.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2026-06-08 16:57:24.436 INFO  o.a.coyote.http11.Http11NioProtocol - Pausing ProtocolHandler ["http-nio-8085"]
2026-06-08 16:57:24.483 INFO  o.s.boot.tomcat.GracefulShutdown - Graceful shutdown complete
2026-06-08 16:57:24.488 INFO  o.a.coyote.http11.Http11NioProtocol - Stopping ProtocolHandler ["http-nio-8085"]
2026-06-08 16:57:24.668 INFO  a.d.s.SpringProject14aprelApplication - Starting SpringProject14aprelApplication using Java 21.0.8 with PID 6296 (C:\Github\14Aprel_group\codes\spring\spring-project-14aprel\target\classes started by User in C:\Github\14Aprel_group\codes\spring\spring-project-14aprel)
2026-06-08 16:57:24.669 INFO  a.d.s.SpringProject14aprelApplication - No active profile set, falling back to 1 default profile: "default"
2026-06-08 16:57:25.190 INFO  o.s.boot.tomcat.TomcatWebServer - Tomcat initialized with port 8085 (http)
2026-06-08 16:57:25.192 INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8085"]
2026-06-08 16:57:25.193 INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-06-08 16:57:25.193 INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/11.0.21]
2026-06-08 16:57:25.232 INFO  o.s.b.w.c.s.WebApplicationContextInitializer - Root WebApplicationContext: initialization completed in 556 ms
