2026-06-04 16:40:25.598 INFO  a.d.s.SpringProject14aprelApplication - Starting SpringProject14aprelApplication using Java 21.0.8 with PID 35784 (C:\Github\14Aprel_group\codes\spring\spring-project-14aprel\target\classes started by User in C:\Github\14Aprel_group\codes\spring\spring-project-14aprel)
2026-06-04 16:40:25.601 INFO  a.d.s.SpringProject14aprelApplication - No active profile set, falling back to 1 default profile: "default"
2026-06-04 16:40:26.027 INFO  o.s.boot.tomcat.TomcatWebServer - Tomcat initialized with port 8085 (http)
2026-06-04 16:40:26.029 INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8085"]
2026-06-04 16:40:26.031 INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-06-04 16:40:26.033 INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/11.0.21]
2026-06-04 16:40:26.060 INFO  o.s.b.w.c.s.WebApplicationContextInitializer - Root WebApplicationContext: initialization completed in 452 ms
2026-06-04 16:40:26.265 INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8085"]
2026-06-04 16:40:26.277 INFO  o.s.boot.tomcat.TomcatWebServer - Tomcat started on port 8085 (http) with context path '/'
2026-06-04 16:40:26.284 INFO  a.d.s.SpringProject14aprelApplication - Started SpringProject14aprelApplication in 0.746 seconds (process running for 361.113)
2026-06-04 16:40:26.292 INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
2026-06-04 16:40:26.297 INFO  a.d.s.config.LogDemo - Sistem melumatlari ucun logging
2026-06-04 16:40:26.297 WARN  a.d.s.config.LogDemo - Xeberadarliq mesajlari ucun logging
2026-06-04 16:40:26.298 ERROR a.d.s.config.LogDemo - Kritik mesajlar ucun logging
2026-06-04 16:40:36.971 INFO  o.s.b.d.a.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener - Restarting due to 1 class path change (0 additions, 0 deletions, 1 modification)
2026-06-04 16:40:36.974 INFO  o.s.boot.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2026-06-04 16:40:36.975 INFO  o.a.coyote.http11.Http11NioProtocol - Pausing ProtocolHandler ["http-nio-8085"]
2026-06-04 16:40:36.986 INFO  o.s.boot.tomcat.GracefulShutdown - Graceful shutdown complete
2026-06-04 16:40:36.986 INFO  o.a.coyote.http11.Http11NioProtocol - Stopping ProtocolHandler ["http-nio-8085"]
2026-06-04 16:40:37.161 INFO  a.d.s.SpringProject14aprelApplication - Starting SpringProject14aprelApplication using Java 21.0.8 with PID 35784 (C:\Github\14Aprel_group\codes\spring\spring-project-14aprel\target\classes started by User in C:\Github\14Aprel_group\codes\spring\spring-project-14aprel)
2026-06-04 16:40:37.162 INFO  a.d.s.SpringProject14aprelApplication - No active profile set, falling back to 1 default profile: "default"
2026-06-04 16:40:37.398 INFO  o.s.boot.tomcat.TomcatWebServer - Tomcat initialized with port 8085 (http)
