2026-05-31 22:15:52.925 INFO  a.d.s.SpringProject14aprelApplication - Starting SpringProject14aprelApplication using Java 21.0.8 with PID 20640 (C:\Github\14Aprel_group\codes\spring\spring-project-14aprel\target\classes started by User in C:\Github\14Aprel_group\codes\spring\spring-project-14aprel)
2026-05-31 22:15:52.931 INFO  a.d.s.SpringProject14aprelApplication - No active profile set, falling back to 1 default profile: "default"
2026-05-31 22:15:52.992 INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2026-05-31 22:15:52.993 INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2026-05-31 22:15:54.627 INFO  o.s.boot.tomcat.TomcatWebServer - Tomcat initialized with port 8085 (http)
2026-05-31 22:15:54.645 INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8085"]
2026-05-31 22:15:54.649 INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-05-31 22:15:54.650 INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/11.0.21]
2026-05-31 22:15:54.717 INFO  o.s.b.w.c.s.WebApplicationContextInitializer - Root WebApplicationContext: initialization completed in 1722 ms
2026-05-31 22:15:55.611 INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8085"]
2026-05-31 22:15:55.658 INFO  o.s.boot.tomcat.TomcatWebServer - Tomcat started on port 8085 (http) with context path '/'
2026-05-31 22:15:55.671 INFO  a.d.s.SpringProject14aprelApplication - Started SpringProject14aprelApplication in 3.629 seconds (process running for 4.354)
2026-05-31 22:15:55.678 INFO  a.d.s.config.LogDemo - Sistem melumatlari ucun logging
2026-05-31 22:15:55.679 WARN  a.d.s.config.LogDemo - Xeberadarliq mesajlari ucun logging
2026-05-31 22:15:55.679 ERROR a.d.s.config.LogDemo - Kritik mesajlar ucun logging
2026-05-31 22:17:48.352 INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-05-31 22:17:48.361 INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-05-31 22:17:48.365 INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 4 ms
2026-05-31 22:17:48.648 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2026-05-31 22:17:49.785 INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@4c07195a
2026-05-31 22:17:49.785 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2026-05-31 22:56:51.200 WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=17m912ms241µs100ns).
2026-05-31 23:03:55.451 WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=4m4s205ms189µs800ns).
